2024-01-22 14:20:59 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:20:59 | INFO     | DF | Running on device cuda:0
2024-01-22 14:20:59 | INFO     | DF | Model loaded
2024-01-22 14:33:14 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:33:14 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:33:14 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:33:14 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:33:16 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:33:16 | INFO     | DF | Running on device cuda:0
2024-01-22 14:33:16 | INFO     | DF | Model loaded
2024-01-22 14:34:17 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:34:17 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:34:17 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:34:17 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:34:18 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:34:18 | INFO     | DF | Running on device cuda:0
2024-01-22 14:34:18 | INFO     | DF | Model loaded
2024-01-22 14:34:42 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:34:42 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:34:42 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:34:42 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:34:44 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:34:44 | INFO     | DF | Running on device cuda:0
2024-01-22 14:34:44 | INFO     | DF | Model loaded
2024-01-22 14:40:07 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:40:07 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:40:07 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:40:07 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:40:10 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
